timestamp,action,symbol,side,amount,price,realized_pnl,reason,balance_after
2025-08-26T18:39:51.377791,open,TRX/USDT,buy,131.087155,0.3234,,open,127.13836429
2025-08-26T18:39:52.402906,close,TRX/USDT,buy,32.771789,0.3256,0.06146349,partial_0.5R,137.80885879
2025-08-26T18:39:53.249713,close,TRX/USDT,buy,98.315366,0.3267,0.2924833,TP,169.92848886
2025-08-26T18:39:54.253741,open,TRX/USDT,buy,129.400311,0.3283,,open,127.40388464
2025-08-26T18:39:55.222850,close,TRX/USDT,buy,129.400311,0.3259,-0.35288759,opposite_signal,169.57544599
2025-08-26T18:39:56.170305,open,TRX/USDT,sell,130.082423,0.3259,,open,127.13919048
2025-08-26T18:39:57.259108,close,TRX/USDT,sell,130.082423,0.3279,-0.30268879,opposite_signal,169.79321698
2025-08-26T18:39:58.218377,open,TRX/USDT,buy,129.45503,0.3279,,open,127.30246434
2025-08-26T18:39:59.212261,close,TRX/USDT,buy,129.45503,0.3266,-0.2106557,opposite_signal,169.58247713
2025-08-26T18:40:00.162300,open,TRX/USDT,sell,129.809,0.3266,,open,127.14446212
2025-08-26T18:40:01.242908,close,TRX/USDT,sell,129.809,0.327,-0.09434518,opposite_signal,169.59200512
2025-08-26T18:40:02.413050,open,TRX/USDT,buy,129.657496,0.327,,open,127.15160592
2025-08-26T18:40:03.356255,close,TRX/USDT,buy,129.657496,0.3264,-0.1201536,opposite_signal,169.47181262
2025-08-26T18:40:04.358903,open,TRX/USDT,sell,129.803778,0.3264,,open,127.06149152
2025-08-26T18:40:05.444501,close,TRX/USDT,sell,129.803778,0.3277,-0.21119724,opposite_signal,169.59818958
2025-08-26T18:40:06.426067,open,TRX/USDT,buy,129.385253,0.3277,,open,127.15624262
2025-08-26T18:40:07.270856,close,TRX/USDT,buy,129.385253,0.326,-0.2622445,opposite_signal,169.3358351
2025-08-26T18:40:08.261643,open,TRX/USDT,sell,129.858769,0.326,,open,126.95954244
2025-08-26T18:40:09.265397,close,TRX/USDT,sell,129.858769,0.3225,0.41239899,TP,168.83899545
2025-08-26T18:40:10.853071,open,TRX/USDT,sell,131.20842,0.3217,,open,126.58703698
2025-08-26T18:40:11.805716,close,TRX/USDT,sell,131.20842,0.3191,0.29910271,TP,168.45564381
2025-08-26T18:40:12.788085,open,TRX/USDT,buy,131.114293,0.3212,,open,126.29961898
2025-08-26T18:40:13.767448,close,TRX/USDT,buy,32.778573,0.3224,0.02878614,partial_0.5R,136.86743092
